university,faculty,field_name,program_name,r1,r2,r3,r4
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,60,-,80,-
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,220,10,105,-
มหาวิทยาลัยเกษตรศาสตร์,5. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,36,14,35,-
มหาวิทยาลัยเกษตรศาสตร์,21. คณะวิศวกรรมศาสตร์ กำแพงแสน,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,20,20,30,-
มหาวิทยาลัยเกษตรศาสตร์,30. คณะวิศวกรรมศาสตร์ ศรีราชา,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,53,34,30,-
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,3. วิทยาการคอมพิวเตอร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,122,100,90,15
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,5. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,92,86,40,15
มหาวิทยาลัยกาฬสินธุ์,4. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,10,10,10,20
มหาวิทยาลัยขอนแก่น,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,32,38,34,-
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,69,43,10,-
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,31,38,8,12
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),-,44,9,21
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,-,33,5,-
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,29,23,5,-
มหาวิทยาลัยเทคโนโลยีสุรนารี,6. สำนักวิชาวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,10,-,-,-
มหาวิทยาลัยธรรมศาสตร์,13. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,18,23,30,-
มหาวิทยาลัยนครพนม,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต,30,30,30,-
มหาวิทยาลัยนราธิวาสราชนครินทร์,2. วิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,10,27,20,5
มหาวิทยาลัยนเรศวร,11. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,31,25,60,20
มหาวิทยาลัยมหิดล,12. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,30,20,26,-
มหาวิทยาลัยรามคำแหง,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),20,20,80,-
มหาวิทยาลัยรามคำแหง,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),-,-,50,30
มหาวิทยาลัยวลัยลักษณ์,8. วิศวกรรมศาสตร์และเทคโนโลยี,1. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,80,50,10,5
มหาวิทยาลัยศรีนครินทรวิโรฒ,16. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,38,7,15,8
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์,3. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,75,20,10,-
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์,3. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์,210,5,10,-
มหาวิทยาลัยอุบลราชธานี,3. คณะวิศวกรรมศาสตร์,3. วิศวกรรมปัญญาประดิษฐ์,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,-,40,40,-
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,85,45,20,5
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),80,15,5,10
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,115,30,5,-
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,20. วิศวกรรมปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),125,75,10,80
มหาวิทยาลัยราชภัฏสวนสุนันทา,5. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,6. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,60,10,80,50
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,4. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),5,15,10,10
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,20,-,-,-
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,4. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,15,15,15,10
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี,5,5,15,-
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,7,2,1,1
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,2,2,1,1
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,14. คณะวิศวกรรมศาสตร์และเทคโนโลยี,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,10,10,-,20
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,3. คณะวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,10,4,2,-
มหาวิทยาลัยเกษมบัณฑิต,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,-,-,40,-
มหาวิทยาลัยเทคโนโลยีมหานคร,3. วิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,-,-,50,-
มหาวิทยาลัยธุรกิจบัณฑิตย์,2. วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,30,30,30,-
มหาวิทยาลัยรังสิต,9. วิทยาลัยวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,-,-,30,-
มหาวิทยาลัยสยาม,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,30,-,20,-
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),60,-,60,-
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,5. วิศวกรรมปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,40,15,15,-
