university,faculty,field_name,field_url
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/001/faculties/21/fields/30_05
มหาวิทยาลัยเกษตรศาสตร์,5. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/002/faculties/05/fields/30_05
มหาวิทยาลัยเกษตรศาสตร์,21. คณะวิศวกรรมศาสตร์ กำแพงแสน,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/002/faculties/20/fields/30_05
มหาวิทยาลัยเกษตรศาสตร์,30. คณะวิศวกรรมศาสตร์ ศรีราชา,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/002/faculties/28/fields/30_05
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,3. วิทยาการคอมพิวเตอร์,https://course.mytcas.com/universities/002/faculties/30/fields/22_02
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,5. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/002/faculties/30/fields/30_05
มหาวิทยาลัยกาฬสินธุ์,4. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/028/faculties/04/fields/30_05
มหาวิทยาลัยขอนแก่น,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/003/faculties/04/fields/30_05
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/004/faculties/06/fields/30_05
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/014/faculties/07/fields/30_05
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/015/faculties/01/fields/30_05
มหาวิทยาลัยเทคโนโลยีสุรนารี,6. สำนักวิชาวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/017/faculties/07/fields/30_05
มหาวิทยาลัยธรรมศาสตร์,13. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/005/faculties/10/fields/30_05
มหาวิทยาลัยนครพนม,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/026/faculties/06/fields/30_05
มหาวิทยาลัยนราธิวาสราชนครินทร์,2. วิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/025/faculties/05/fields/30_05
มหาวิทยาลัยนเรศวร,11. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/020/faculties/20/fields/30_05
มหาวิทยาลัยมหิดล,12. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/006/faculties/12/fields/30_05
มหาวิทยาลัยรามคำแหง,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/034/faculties/01/fields/30_05
มหาวิทยาลัยวลัยลักษณ์,8. วิศวกรรมศาสตร์และเทคโนโลยี,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/023/faculties/25/fields/30_05
มหาวิทยาลัยศรีนครินทรวิโรฒ,16. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/009/faculties/09/fields/30_05
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์,3. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/010/faculties/01/fields/30_05
มหาวิทยาลัยอุบลราชธานี,3. คณะวิศวกรรมศาสตร์,3. วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/universities/018/faculties/13/fields/30_37
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/016/faculties/01/fields/30_05
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์,20. วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/universities/016/faculties/01/fields/30_37
มหาวิทยาลัยราชภัฏสวนสุนันทา,5. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,6. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/166/faculties/05/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,4. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/192/faculties/04/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/191/faculties/04/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,4. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/194/faculties/04/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/195/faculties/01/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/197/faculties/04/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,14. คณะวิศวกรรมศาสตร์และเทคโนโลยี,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/197/faculties/15/fields/30_05
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,3. คณะวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/199/faculties/03/fields/30_05
มหาวิทยาลัยเกษมบัณฑิต,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/180/faculties/04/fields/30_05
มหาวิทยาลัยเทคโนโลยีมหานคร,3. วิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/061/faculties/30/fields/30_05
มหาวิทยาลัยธุรกิจบัณฑิตย์,2. วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี,2. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/103/faculties/02/fields/30_05
มหาวิทยาลัยรังสิต,9. วิทยาลัยวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/068/faculties/11/fields/30_05
มหาวิทยาลัยสยาม,1. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/181/faculties/01/fields/30_05
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/universities/056/faculties/07/fields/30_05
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี,5. วิศวกรรมปัญญาประดิษฐ์,https://course.mytcas.com/universities/918/faculties/01/fields/30_37
