name,faculty
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเกษตรศาสตร์,5. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเกษตรศาสตร์,21. คณะวิศวกรรมศาสตร์ กำแพงแสน
มหาวิทยาลัยเกษตรศาสตร์,30. คณะวิศวกรรมศาสตร์ ศรีราชา
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์
มหาวิทยาลัยกาฬสินธุ์,4. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม
มหาวิทยาลัยขอนแก่น,3. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,6. บัณฑิตวิทยาลัยวิศวกรรมศาสตร์นานาชาติสิรินธร ไทย-เยอรมัน
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,13. คณะวิศวกรรมศาสตร์และเทคโนโลยี
มหาวิทยาลัยเทคโนโลยีสุรนารี,6. สำนักวิชาวิศวกรรมศาสตร์
มหาวิทยาลัยทักษิณ,11. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยธรรมศาสตร์,13. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยนครพนม,6. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยนราธิวาสราชนครินทร์,2. วิศวกรรมศาสตร์
มหาวิทยาลัยนเรศวร,11. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยบูรพา,9. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยพะเยา,10. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยมหิดล,12. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยมหาสารคาม,3. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยรามคำแหง,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยวลัยลักษณ์,8. วิศวกรรมศาสตร์และเทคโนโลยี
มหาวิทยาลัยศรีนครินทรวิโรฒ,16. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยศิลปากร,10. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม
มหาวิทยาลัยสงขลานครินทร์,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยอุบลราชธานี,3. คณะวิศวกรรมศาสตร์
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,5. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม
มหาวิทยาลัยราชภัฏเพชรบุรี,5. วิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม
มหาวิทยาลัยราชภัฏสวนสุนันทา,5. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,4. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,5. สำนักวิชาวิศวกรรมศาสตร์และนวัตกรรม
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,12. คณะวิศวกรรมศาสตร์บูรณาการและเทคโนโลยี
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,13. วิศวกรรมศาสตร์และสถาปัตยกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,3. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,4. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,2. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,14. คณะวิศวกรรมศาสตร์และเทคโนโลยี
มหาวิทยาลัยเกษมบัณฑิต,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยเทคโนโลยีมหานคร,3. วิศวกรรมศาสตร์
มหาวิทยาลัยธุรกิจบัณฑิตย์,2. วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี
มหาวิทยาลัยปทุมธานี,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี
มหาวิทยาลัยรังสิต,9. วิทยาลัยวิศวกรรมศาสตร์
มหาวิทยาลัยศรีปทุม,1. คณะวิศวกรรมศาสตร์ (กทม.)
มหาวิทยาลัยสยาม,1. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยหอการค้าไทย,7. คณะวิศวกรรมศาสตร์
มหาวิทยาลัยอีสเทิร์นเอเชีย,1. คณะวิศวกรรมศาสตร์
สถาบันการจัดการปัญญาภิวัฒน์,1. คณะวิศวกรรมศาสตร์และเทคโนโลยี
สถาบันเทคโนโลยีแห่งสุวรรณภูมิ,1. คณะวิศวกรรมศาสตร์ วิทยาศาสตร์และเทคโนโลยี
